text,value
700 WWP  1440,700 WWP |  01440  
700 WWP  A214,700 WWP | A00214  
ANDERSON G304,ANDERSON| G00304  
ANDERSON G305,ANDERSON| G00305  
ANDERSON G313,ANDERSON| G00313  
ANDERSON G419,ANDERSON| G00419  
ANDERSON G503,ANDERSON| G00503  
BIO SCI  154,BIO SCI |  00154  
BIO SCI  210C,BIO SCI |  00210C 
BIO SCI  283,BIO SCI |  00283  
BIO SCI  301,BIO SCI |  00301  
BIO SCI  383,BIO SCI |  00383  
BIO SCI  401,BIO SCI |  00401  
BIO SCI  483,BIO SCI |  00483  
BIO SCI  501,BIO SCI |  00501  
BOELTER  1541,BOELTER |  01541  
BOELTER  1567,BOELTER |  01567  
BOELTER  1762B,BOELTER |  01762B 
BOELTER  1805,BOELTER |  01805  
BOELTER  2444,BOELTER |  02444  
BOELTER  2760,BOELTER |  02760  
BOELTER  2808,BOELTER |  02808  
BOELTER  3400,BOELTER |  03400  
BOELTER  3424,BOELTER |  03424  
BOELTER  3428,BOELTER |  03428  
BOELTER  3436,BOELTER |  03436  
BOELTER  3564,BOELTER |  03564  
BOELTER  3704,BOELTER |  03704  
BOELTER  3760,BOELTER |  03760  
BOELTER  4275,BOELTER |  04275  
BOELTER  4283,BOELTER |  04283  
BOELTER  4404,BOELTER |  04404  
BOELTER  4413,BOELTER |  04413  
BOELTER  4760,BOELTER |  04760  
BOELTER  5249,BOELTER |  05249  
BOELTER  5252,BOELTER |  05252  
BOELTER  5264,BOELTER |  05264  
BOELTER  5272,BOELTER |  05272  
BOELTER  5273,BOELTER |  05273  
BOELTER  5280,BOELTER |  05280  
BOELTER  5419,BOELTER |  05419  
BOELTER  5420,BOELTER |  05420  
BOELTER  5422,BOELTER |  05422  
BOELTER  5436,BOELTER |  05436  
BOELTER  5440,BOELTER |  05440  
BOELTER  5513,BOELTER |  05513  
BOELTER  5514,BOELTER |  05514  
BOELTER  5714,BOELTER |  05714  
BOELTER  6541,BOELTER |  06541  
BOELTER  6750,BOELTER |  06750  
BOELTER  7702,BOELTER |  07702  
BOELTER  7718,BOELTER |  07718  
BOELTER  7730,BOELTER |  07730  
