title,start,end,lecture,enrollment,enroll_total,enroll_capacity,mult_list_flag,multi_header,multi_list_classes,meet_bdg,meet_rm,Subj_Area,Days_in_week,strt_time,stop_time,fac_capacity,start_date
MGMTFT  421A    ,2014-11-10T08:30:00,2014-11-10T11:20:00,LEC 1,Enr: 49 of 50,49,50,n,,[],ANDERSON, G00304  ,MGMTFT ,M      ,08:30:00,11:20:00,90,1/1/2020 12:00:00 AM
MGMTFT  421A    ,2014-11-12T08:30:00,2014-11-12T11:20:00,LEC 5,Enr: 50 of 50,50,50,n,,[],ANDERSON, G00304  ,MGMTFT ,W      ,08:30:00,11:20:00,90,1/1/2020 12:00:00 AM
MGMTFT  421B    ,2014-11-13T08:30:00,2014-11-13T11:20:00,LEC 9,Enr: 51 of 50,51,50,n,,[],ANDERSON, G00304  ,MGMTFT ,R      ,08:30:00,11:20:00,90,1/1/2020 12:00:00 AM
MGMTFE  408     ,09:00:00,15:00:00,LEC 2,Enr: 75 of 70,75,70,n,,[],ANDERSON, G00304  ,MGMTFE ,U      ,09:00:00,15:00:00,90,1/1/2020 12:00:00 AM
MGMTMFE 431     ,2014-11-10T13:00:00,2014-11-10T15:50:00,LEC 2,Enr: 63 of 72,63,72,n,,[],ANDERSON, G00304  ,MGMTMFE,M      ,13:00:00,15:50:00,90,1/1/2020 12:00:00 AM
MGMTMSA 410     ,2014-11-11T13:00:00,2014-11-11T15:50:00,LEC 1,Enr: 64 of 40,64,40,n,,[],ANDERSON, G00304  ,MGMTMSA,T      ,13:00:00,15:50:00,90,1/1/2020 12:00:00 AM
MGMTFE  411     ,14:00:00,20:00:00,LEC 2,Enr: 77 of 70,77,70,n,,[],ANDERSON, G00304  ,MGMTFE ,S      ,14:00:00,20:00:00,90,1/1/2020 12:00:00 AM
MGMT    278A    ,2014-11-11T16:10:00,2014-11-11T19:00:00,LEC 1,Enr: 82 of 79,82,79,n,,[],ANDERSON, G00304  ,MGMT   ,T      ,16:10:00,19:00:00,90,1/1/2020 12:00:00 AM
MGMTMFE 405     ,2014-11-12T16:10:00,2014-11-12T19:00:00,LEC 1,Enr: 78 of 80,78,80,n,,[],ANDERSON, G00304  ,MGMTMFE,W      ,16:10:00,19:00:00,90,1/1/2020 12:00:00 AM
MGMTMSA 408     ,2014-11-10T16:10:00,2014-11-10T19:00:00,LEC 1,Enr: 64 of 40,64,40,n,,[],ANDERSON, G00304  ,MGMTMSA,M      ,16:10:00,19:00:00,90,1/1/2020 12:00:00 AM
MGMTFT  421A    ,2014-11-11T08:30:00,2014-11-11T11:20:00,LEC 3,Enr: 49 of 50,49,50,n,,[],ANDERSON, G00305  ,MGMTFT ,T      ,08:30:00,11:20:00,90,1/1/2020 12:00:00 AM
MGMTFT  421A    ,2014-11-12T08:30:00,2014-11-12T11:20:00,LEC 7,Enr: 50 of 50,50,50,n,,[],ANDERSON, G00305  ,MGMTFT ,W      ,08:30:00,11:20:00,90,1/1/2020 12:00:00 AM
MGMTMFE 431     ,2014-11-10T08:30:00,2014-11-10T11:50:00,LEC 1,Enr: 72 of 72,72,72,n,,[],ANDERSON, G00305  ,MGMTMFE,M      ,08:30:00,11:50:00,90,1/1/2020 12:00:00 AM
MGMTFT  421B    ,2014-11-14T09:00:00,2014-11-14T17:00:00,LEC 1,Enr: 50 of 50,50,50,n,,[],ANDERSON, G00305  ,MGMTFT ,FS     ,09:00:00,17:00:00,90,1/1/2020 12:00:00 AM
MGMTFT  421B    ,09:00:00,17:00:00,LEC 1,Enr: 50 of 50,50,50,n,,[],ANDERSON, G00305  ,MGMTFT ,FS     ,09:00:00,17:00:00,90,1/1/2020 12:00:00 AM
MGMT    267     ,2014-11-13T13:00:00,2014-11-13T15:50:00,LEC 1,Enr: 58 of 0,58,0,n,,[],ANDERSON, G00305  ,MGMT   ,R      ,13:00:00,15:50:00,90,1/1/2020 12:00:00 AM
MGMT    298D    ,2014-11-12T14:30:00,2014-11-12T17:20:00,LEC 4,Enr: 75 of 75,75,75,n,,[],ANDERSON, G00305  ,MGMT   ,W      ,14:30:00,17:20:00,90,1/1/2020 12:00:00 AM
MGMT    298D    ,2014-11-12T17:30:00,2014-11-12T20:20:00,LEC 5,Enr: 52 of 75,52,75,n,,[],ANDERSON, G00305  ,MGMT   ,W      ,17:30:00,20:20:00,90,1/1/2020 12:00:00 AM
MGMT    267     ,2014-11-13T19:10:00,2014-11-13T22:00:00,LEC 2,Enr: 39 of 60,39,60,n,,[],ANDERSON, G00305  ,MGMT   ,R      ,19:10:00,22:00:00,90,1/1/2020 12:00:00 AM
