2,MGMTFT  421A    ,LEC 1,48,50,ANDERSON, G00304  ,MGMTFT ,M      ,8:30:00,11:20:00,90
2,MGMTFT  421A    ,LEC 5,50,50,ANDERSON, G00304  ,MGMTFT ,W      ,8:30:00,11:20:00,90
2,MGMTFT  421B    ,LEC 9,51,50,ANDERSON, G00304  ,MGMTFT ,R      ,8:30:00,11:20:00,90
2,MGMTFE  408     ,LEC 2,76,70,ANDERSON, G00304  ,MGMTFE ,U      ,9:00:00,15:00:00,90
2,MGMTMFE 431     ,LEC 2,63,72,ANDERSON, G00304  ,MGMTMFE,M      ,13:00:00,15:50:00,90
2,MGMTMSA 410     ,LEC 1,67,40,ANDERSON, G00304  ,MGMTMSA,T      ,13:00:00,15:50:00,90
2,MGMTFE  411     ,LEC 2,78,70,ANDERSON, G00304  ,MGMTFE ,S      ,14:00:00,20:00:00,90
2,MGMT    278A    ,LEC 1,90,79,ANDERSON, G00304  ,MGMT   ,T      ,16:10:00,19:00:00,90
2,MGMTMFE 405     ,LEC 1,78,80,ANDERSON, G00304  ,MGMTMFE,W      ,16:10:00,19:00:00,90
2,MGMTMSA 408     ,LEC 1,67,40,ANDERSON, G00304  ,MGMTMSA,M      ,16:10:00,19:00:00,90
3,MGMTFT  421A    ,LEC 3,49,50,ANDERSON, G00305  ,MGMTFT ,T      ,8:30:00,11:20:00,90
3,MGMTFT  421A    ,LEC 7,50,50,ANDERSON, G00305  ,MGMTFT ,W      ,8:30:00,11:20:00,90
3,MGMTMFE 431     ,LEC 1,70,75,ANDERSON, G00305  ,MGMTMFE,M      ,8:30:00,11:50:00,90
3,MGMTFT  421B    ,LEC 1,52,50,ANDERSON, G00305  ,MGMTFT ,FS     ,9:00:00,17:00:00,90
3,MGMTFT  421B    ,LEC 1,52,50,ANDERSON, G00305  ,MGMTFT ,FS     ,9:00:00,17:00:00,90
3,MGMT    267     ,LEC 1,53,0,ANDERSON, G00305  ,MGMT   ,R      ,13:00:00,15:50:00,90
3,MGMT    298D    ,LEC 4,64,75,ANDERSON, G00305  ,MGMT   ,W      ,14:30:00,17:20:00,90
3,MGMT    298D    ,LEC 5,36,75,ANDERSON, G00305  ,MGMT   ,W      ,17:30:00,20:20:00,90
3,MGMT    267     ,LEC 2,32,60,ANDERSON, G00305  ,MGMT   ,R      ,19:10:00,22:00:00,90
4,MGMT    252     ,LEC 1,95,90,ANDERSON, G00313  ,MGMT   ,T      ,13:00:00,15:50:00,200
4,MGMT    298D    ,LEC 013,94,90,ANDERSON, G00313  ,MGMT   ,M      ,16:10:00,19:00:00,200
4,MGMT    298D    ,LEC 016,97,90,ANDERSON, G00313  ,MGMT   ,T      ,16:10:00,19:00:00,200
5,MGMTFT  421B    ,LEC 5,17,50,ANDERSON, G00419  ,MGMTFT ,M      ,8:30:00,11:20:00,90
5,MGMTFT  421B    ,LEC 6,49,50,ANDERSON, G00419  ,MGMTFT ,T      ,8:30:00,11:20:00,90
